drug,n_raw_targets,n_symbolish,n_in_depmap,n_in_kegg,free_text_only,target_pathway
MIM1,1,1,1,1,False,Apoptosis regulation
MIRA-1,1,1,1,1,False,p53 pathway
MK-1775,2,2,2,2,False,Cell cycle
MK-2206,2,2,2,2,False,PI3K/MTOR signaling
MK-8776,3,3,3,3,False,Cell cycle
ML323,2,1,1,1,False,Protein stability and degradation
MN-64,2,2,2,0,False,WNT signaling
Methotrexate,1,0,0,0,True,DNA replication
Mirin,1,1,1,1,False,Genome integrity
Mitoxantrone,1,2,2,2,False,DNA replication
Motesanib,3,3,3,3,False,RTK signaling
Mycophenolic acid,1,0,0,0,True,Unclassified
N-acetyl cysteine,1,0,0,0,True,Metabolism
NU7441,1,0,0,0,True,Genome integrity
NVP-ADW742,1,1,1,1,False,IGF1R signaling
Navitoclax,3,1,1,1,False,Apoptosis regulation
Nelarabine,1,0,0,0,True,DNA replication
Nilotinib,1,1,1,1,False,ABL signaling
Niraparib,2,3,3,3,False,Genome integrity
Nutlin-3a (-),1,1,1,1,False,p53 pathway
OF-1,2,0,0,0,True,Chromatin histone acetylation
OSI-027,2,1,1,1,False,PI3K/MTOR signaling
OTX015,3,3,3,0,False,Chromatin other
Obatoclax Mesylate,3,1,1,1,False,Apoptosis regulation
Olaparib,2,3,3,3,False,Genome integrity
Osimertinib,1,1,1,1,False,EGFR signaling
Oxaliplatin,1,0,0,0,True,DNA replication
P22077,2,2,2,1,False,Protein stability and degradation
PCI-34051,3,10,10,10,False,Chromatin histone acetylation
PD0325901,2,2,2,2,False,ERK MAPK signaling
PD173074,3,3,3,3,False,RTK signaling
PF-4708671,1,0,0,0,True,PI3K/MTOR signaling
PFI-1,1,1,1,0,False,Chromatin other
PFI3,3,2,2,2,False,Chromatin other
PLX-4720,1,1,1,1,False,ERK MAPK signaling
POMHEX,1,0,0,0,True,Unclassified
PRIMA-1MET,1,0,0,0,True,p53 pathway
PRT062607,1,1,1,1,False,"Other, kinases"
Paclitaxel,1,0,0,0,True,Mitosis
Palbociclib,2,2,2,2,False,Cell cycle
Pevonedistat,1,0,0,0,True,Other
Picolinici-acid,1,0,0,0,True,Other
Pictilisib,1,1,1,1,False,PI3K/MTOR signaling
Piperlongumine,1,0,0,0,True,Other
Podophyllotoxin bromide,1,0,0,0,True,Unclassified
Pyridostatin,1,0,0,0,True,DNA replication
RO-3306,1,1,1,1,False,Cell cycle
RVX-208,1,1,1,0,False,Chromatin other
Rapamycin,1,1,1,1,False,PI3K/MTOR signaling
Refametinib,2,2,2,2,False,ERK MAPK signaling
Remodelin,1,0,0,0,True,Unclassified
Ribociclib,2,2,2,2,False,Cell cycle
Romidepsin,3,10,10,10,False,Chromatin histone acetylation
Rucaparib,2,3,3,3,False,Genome integrity
Ruxolitinib,2,2,2,2,False,"Other, kinases"
SB216763,2,2,2,2,False,WNT signaling
SB505124,3,3,3,3,False,RTK signaling
SB590885,1,1,1,1,False,ERK MAPK signaling
SCH772984,2,2,2,2,False,ERK MAPK signaling
SGC-CBP30,2,1,1,1,False,Chromatin histone acetylation
SGC0946,1,1,1,1,False,Chromatin histone methylation
SL0101,3,2,2,2,False,"Other, kinases"
SN-38,1,1,1,0,False,DNA replication
Sabutoclax,3,1,1,1,False,Apoptosis regulation
Sapitinib,3,3,3,3,False,EGFR signaling
Savolitinib,1,1,1,1,False,RTK signaling
Schweinfurthin A,1,0,0,0,True,Unclassified
Selumetinib,2,2,2,2,False,ERK MAPK signaling
Sepantronium bromide,1,1,1,1,False,Apoptosis regulation
Serdemetan,1,1,1,1,False,p53 pathway
Sinularin,1,0,0,0,True,Unclassified
Sorafenib,3,3,3,3,False,"Other, kinases"
Staurosporine,1,0,0,0,True,RTK signaling
TW 37,3,2,2,2,False,Apoptosis regulation
Talazoparib,2,3,3,3,False,Genome integrity
Tamoxifen,1,1,1,1,False,Hormone-related
Tanespimycin,1,3,3,3,False,Protein stability and degradation
Taselisib,1,1,1,1,False,PI3K/MTOR signaling
Telomerase Inhibitor IX,1,0,0,0,True,Genome integrity
Temozolomide,1,0,0,0,True,DNA replication
Temsirolimus,1,1,1,1,False,PI3K/MTOR signaling
Teniposide,1,0,0,0,True,DNA replication
Topotecan,1,1,1,0,False,DNA replication
Tozasertib,3,3,3,2,False,Mitosis
Trametinib,2,2,2,2,False,ERK MAPK signaling
Tretinoin,1,0,0,0,True,Other
UMI-77,1,1,1,1,False,Apoptosis regulation
UNC0379,1,0,0,0,True,Chromatin histone methylation
UNC0638,2,0,0,0,True,Chromatin histone methylation
Ulixertinib,2,2,2,2,False,ERK MAPK signaling
Uprosertib,3,3,3,3,False,PI3K/MTOR signaling
VE-822,1,1,1,1,False,Genome integrity
VE821,1,1,1,1,False,Genome integrity
VX-11e,1,1,1,1,False,ERK MAPK signaling
Veliparib,2,3,3,3,False,Genome integrity
Venetoclax,1,1,1,1,False,Apoptosis regulation
Vinblastine,1,0,0,0,True,Mitosis
Vinorelbine,1,0,0,0,True,Mitosis
Vismodegib,1,1,1,1,False,Other
Vorinostat,3,0,0,0,True,Chromatin histone acetylation
WEHI-539,1,0,0,0,True,Apoptosis regulation
WIKI4,2,2,2,0,False,WNT signaling
WZ4003,2,2,2,0,False,"Other, kinases"
Wee1 Inhibitor,2,2,2,2,False,Cell cycle
Wnt-C59,1,1,1,1,False,WNT signaling
XAV939,2,2,2,0,False,WNT signaling
YK-4-279,1,0,0,0,True,Other
ZM447439,2,2,2,2,False,Mitosis
alpha-lipoic acid,1,0,0,0,True,Metabolism
ascorbate (vitamin C),1,0,0,0,True,Other
glutathione,1,0,0,0,True,Other
